cohort_month,month,cohort_sales
2010-02-05,2012-10,46050124.68
2010-02-05,2012-10,45043355.74
2010-02-05,2012-10,45459908.97
2010-02-12,2010-02,8170.43
2010-02-12,2010-02,15153.10
2010-02-12,2010-02,265.77
2010-02-12,2010-03,556.23
2010-02-12,2010-03,338.76
2010-02-12,2010-03,249.31
2010-02-12,2010-03,347.31
2010-02-12,2010-04,372.76
2010-02-12,2010-04,568.28
2010-02-12,2010-04,1137.35
2010-02-12,2010-04,186.48
2010-02-12,2010-04,361.18
2010-02-12,2010-05,1164.07
2010-02-12,2010-05,31082.39
2010-02-12,2010-05,7951.19
2010-02-12,2010-05,661.07
2010-02-12,2010-06,652.38
2010-02-12,2010-06,952.57
2010-02-12,2010-06,945.63
2010-02-12,2010-06,737.79
2010-02-12,2010-07,833.28
2010-02-12,2010-07,889.84
2010-02-12,2010-07,944.14
2010-02-12,2010-07,955.74
2010-02-12,2010-07,1328.51
2010-02-12,2010-08,2451.70
2010-02-12,2010-08,606.12
2010-02-12,2010-08,734.04
2010-02-12,2010-08,696.67
2010-02-12,2010-09,6209.46
2010-02-12,2010-09,4590.34
2010-02-12,2010-09,5181.89
2010-02-12,2010-09,6765.41
2010-02-12,2010-10,8627.02
2010-02-12,2010-10,6267.95
2010-02-12,2010-10,8137.57
2010-02-12,2010-10,6528.65
2010-02-12,2010-10,5664.44
2010-02-12,2010-11,14830.89
2010-02-12,2010-11,12214.96
2010-02-12,2010-11,11182.05
2010-02-12,2010-11,5361.11
2010-02-12,2010-12,12626.87
2010-02-12,2010-12,11433.36
2010-02-12,2010-12,12349.45
2010-02-12,2010-12,11760.37
2010-02-12,2010-12,6995.47
2010-02-12,2011-01,9000.54
2010-02-12,2011-01,7896.73
2010-02-12,2011-01,8474.15
2010-02-12,2011-01,15517.68
2010-02-12,2011-02,18399.62
2010-02-12,2011-02,35913.48
2010-02-12,2011-02,16711.10
2010-02-12,2011-02,15209.67
2010-02-12,2011-03,15980.40
2010-02-12,2011-03,16576.34
2010-02-12,2011-03,14890.88
2010-02-12,2011-03,15579.70
2010-02-12,2011-04,12967.67
2010-02-12,2011-04,10869.03
2010-02-12,2011-04,13349.63
2010-02-12,2011-04,11011.54
2010-02-12,2011-04,12353.98
2010-02-12,2011-05,15601.17
2010-02-12,2011-05,10680.03
2010-02-12,2011-05,15308.74
2010-02-12,2011-05,44007.83
2010-02-12,2011-06,14747.43
2010-02-12,2011-06,17115.70
2010-02-12,2011-06,8436.16
2010-02-12,2011-06,14031.52
2010-02-12,2011-07,7710.06
2010-02-12,2011-07,11249.67
2010-02-12,2011-07,7906.31
2010-02-12,2011-07,11107.76
2010-02-12,2011-07,8977.83
2010-02-12,2011-08,10335.31
2010-02-12,2011-08,9986.31
2010-02-12,2011-08,9500.31
2010-02-12,2011-08,10752.61
2010-02-12,2011-09,10289.75
2010-02-12,2011-09,11853.13
2010-02-12,2011-09,9684.08
2010-02-12,2011-09,8181.51
2010-02-12,2011-09,9997.76
2010-02-12,2011-10,21750.66
2010-02-12,2011-10,20402.63
2010-02-12,2011-10,18022.09
2010-02-12,2011-10,18394.31
2010-02-12,2011-11,19203.09
2010-02-12,2011-11,18723.99
2010-02-12,2011-11,20843.29
2010-02-12,2011-11,17867.66
2010-02-12,2011-12,24244.42
2010-02-12,2011-12,22487.78
2010-02-12,2011-12,16864.81
2010-02-12,2011-12,20851.09
2010-02-12,2011-12,16742.00
2010-02-12,2012-01,21518.89
2010-02-12,2012-01,21146.50
2010-02-12,2012-01,20207.69
2010-02-12,2012-01,19261.40
2010-02-12,2012-02,21469.46
2010-02-12,2012-02,48028.63
2010-02-12,2012-02,21998.87
2010-02-12,2012-02,19916.89
2010-02-12,2012-03,21841.51
2010-02-12,2012-03,21013.05
2010-02-12,2012-03,16285.45
2010-02-12,2012-03,16941.90
2010-02-12,2012-03,17137.03
2010-02-12,2012-04,20511.54
2010-02-12,2012-04,19279.31
2010-02-12,2012-04,19216.36
2010-02-12,2012-04,20564.84
2010-02-12,2012-05,20598.76
2010-02-12,2012-05,30369.55
2010-02-12,2012-05,48496.65
2010-02-12,2012-05,20737.20
2010-02-12,2012-06,25721.07
2010-02-12,2012-06,22656.58
2010-02-12,2012-06,21351.53
2010-02-12,2012-06,20960.23
2010-02-12,2012-06,21888.20
2010-02-12,2012-07,21372.39
2010-02-12,2012-07,18997.00
2010-02-12,2012-07,24421.06
2010-02-12,2012-07,21760.02
2010-02-12,2012-08,20185.35
2010-02-12,2012-08,23416.00
2010-02-12,2012-08,20964.27
2010-02-12,2012-08,19944.70
2010-02-12,2012-08,19587.14
2010-02-12,2012-09,21752.58
2010-02-12,2012-09,21062.83
2010-02-12,2012-09,20825.93
2010-02-12,2012-09,20397.97
2010-02-12,2012-10,24275.85
2010-02-12,2012-10,23064.95
2010-02-12,2012-10,22863.17
2010-02-12,2012-10,20813.27
2010-02-19,2010-02,1647.09
2010-02-19,2010-02,1577.97
2010-02-19,2010-03,539.41
2010-02-19,2010-03,-48.05
2010-02-19,2010-03,-392.54
2010-02-19,2010-03,56.85
2010-02-19,2010-04,707.36
2010-02-19,2010-04,764.84
2010-02-19,2010-04,837.51
2010-02-19,2010-04,320.80
2010-02-19,2010-04,1975.31
2010-02-19,2010-05,218.25
2010-02-19,2010-05,383.73
2010-02-19,2010-05,299.73
2010-02-19,2010-05,499.79
2010-02-19,2010-06,208.72
2010-02-19,2010-06,407.49
2010-02-19,2010-06,272.83
2010-02-19,2010-06,184.86
2010-02-19,2010-07,256.39
2010-02-19,2010-07,378.81
2010-02-19,2010-07,48.86
2010-02-19,2010-07,914.26
2010-02-19,2010-07,727.34
2010-02-19,2010-08,1148.07
2010-02-19,2010-08,890.19
2010-02-19,2010-08,605.87
2010-02-19,2010-08,530.49
2010-02-19,2010-09,676.55
2010-02-19,2010-09,424.73
2010-02-19,2010-09,-608.04
2010-02-19,2010-09,209.72
2010-02-19,2010-10,-204.37
2010-02-19,2010-10,387.90
2010-02-19,2010-10,774.44
2010-02-19,2010-10,704.82
2010-02-19,2010-10,820.67
2010-02-19,2010-11,395.38
2010-02-19,2010-11,1806.84
2010-02-19,2010-11,687.71
2010-02-19,2010-11,334.20
2010-02-19,2010-12,2331.01
2010-02-19,2010-12,957.17
2010-02-19,2010-12,565.55
2010-02-19,2010-12,1488.24
2010-02-19,2010-12,1642.49
2010-02-19,2011-01,897.04
2010-02-19,2011-01,350.40
2010-02-19,2011-01,442.92
2010-02-19,2011-01,953.88
2010-02-19,2011-02,1952.93
2010-02-19,2011-02,644.18
2010-02-19,2011-02,925.93
2010-02-19,2011-02,3583.07
2010-02-19,2011-03,27.60
2010-02-19,2011-03,1464.33
2010-02-19,2011-03,2064.19
2010-02-19,2011-03,2167.40
2010-02-19,2011-04,4171.56
2010-02-19,2011-04,1938.87
2010-02-19,2011-04,3896.75
2010-02-19,2011-04,2435.11
2010-02-19,2011-04,3193.84
2010-02-19,2011-05,2286.39
2010-02-19,2011-05,2011.74
2010-02-19,2011-05,3195.13
2010-02-19,2011-05,3250.86
2010-02-19,2011-06,2395.10
2010-02-19,2011-06,1908.00
2010-02-19,2011-06,1578.78
2010-02-19,2011-06,1646.22
2010-02-19,2011-07,2489.22
2010-02-19,2011-07,3182.21
2010-02-19,2011-07,2771.80
2010-02-19,2011-07,2973.10
2010-02-19,2011-07,3180.82
2010-02-19,2011-08,2055.22
2010-02-19,2011-08,2858.81
2010-02-19,2011-08,3542.68
2010-02-19,2011-08,1692.64
2010-02-19,2011-09,2889.00
2010-02-19,2011-09,3076.68
2010-02-19,2011-09,2560.02
2010-02-19,2011-09,2597.47
2010-02-19,2011-09,2316.29
2010-02-19,2011-10,2403.49
2010-02-19,2011-10,2121.82
2010-02-19,2011-10,1594.78
2010-02-19,2011-10,2205.27
2010-02-19,2011-11,2258.68
2010-02-19,2011-11,11180.94
2010-02-19,2011-11,2227.45
2010-02-19,2011-11,2313.59
2010-02-19,2011-12,3235.11
2010-02-19,2011-12,2987.33
2010-02-19,2011-12,10538.74
2010-02-19,2011-12,13411.18
2010-02-19,2011-12,5938.60
2010-02-19,2012-01,2476.49
2010-02-19,2012-01,2485.87
2010-02-19,2012-01,2307.68
2010-02-19,2012-01,2784.97
2010-02-19,2012-02,7470.50
2010-02-19,2012-02,2664.77
2010-02-19,2012-02,3787.05
2010-02-19,2012-02,8244.88
2010-02-19,2012-03,2544.85
2010-02-19,2012-03,2952.81
2010-02-19,2012-03,1770.53
2010-02-19,2012-03,3393.64
2010-02-19,2012-03,2225.51
2010-02-19,2012-04,3252.10
2010-02-19,2012-04,2251.08
2010-02-19,2012-04,5008.09
2010-02-19,2012-04,2513.81
2010-02-19,2012-05,3422.91
2010-02-19,2012-05,4479.24
2010-02-19,2012-05,1832.25
2010-02-19,2012-05,2897.05
2010-02-19,2012-06,2467.12
2010-02-19,2012-06,2096.06
2010-02-19,2012-06,2478.33
2010-02-19,2012-06,2811.31
2010-02-19,2012-06,2539.72
2010-02-19,2012-07,2843.04
2010-02-19,2012-07,1933.54
2010-02-19,2012-07,1783.78
2010-02-19,2012-07,2893.82
2010-02-19,2012-08,2393.02
2010-02-19,2012-08,2106.46
2010-02-19,2012-08,2434.21
2010-02-19,2012-08,2926.15
2010-02-19,2012-08,1824.52
2010-02-19,2012-09,2162.96
2010-02-19,2012-09,2384.96
2010-02-19,2012-09,2247.09
2010-02-19,2012-09,3106.20
2010-02-19,2012-10,2442.91
2010-02-19,2012-10,1860.20
2010-02-19,2012-10,2911.77
2010-02-19,2012-10,3981.07
2010-02-26,2010-02,-1637.06
2010-02-26,2010-03,203.71
2010-02-26,2010-03,327.49
2010-02-26,2010-03,753.12
2010-02-26,2010-03,34.88
2010-02-26,2010-04,434.17
2010-02-26,2010-04,963.44
2010-02-26,2010-04,595.87
2010-02-26,2010-04,686.69
2010-02-26,2010-04,640.60
2010-02-26,2010-05,1045.75
2010-02-26,2010-05,1507.33
2010-02-26,2010-05,648.50
2010-02-26,2010-05,1790.92
2010-02-26,2010-06,2055.14
2010-02-26,2010-06,1683.04
2010-02-26,2010-06,437.54
2010-02-26,2010-06,447.72
2010-02-26,2010-07,403.63
2010-02-26,2010-07,794.44
2010-02-26,2010-07,460.84
2010-02-26,2010-07,508.29
2010-02-26,2010-07,59.05
2010-02-26,2010-08,166.26
2010-02-26,2010-08,145.25
2010-02-26,2010-08,111.00
2010-02-26,2010-08,52.47
2010-02-26,2010-09,241.96
2010-02-26,2010-09,181.44
2010-02-26,2010-09,562.22
2010-02-26,2010-09,138.37
2010-02-26,2010-10,309.44
2010-02-26,2010-10,275.22
2010-02-26,2010-10,135.69
2010-02-26,2010-10,208.97
2010-02-26,2010-10,220.54
2010-02-26,2010-11,223.54
2010-02-26,2010-11,106.72
2010-02-26,2010-11,101.25
2010-02-26,2010-11,108.25
2010-02-26,2010-12,452.50
2010-02-26,2010-12,311.47
2010-02-26,2010-12,14.00
2010-02-26,2010-12,533.69
2010-02-26,2010-12,714.77
2010-02-26,2011-01,509.09
2010-02-26,2011-01,15.22
2010-02-26,2011-01,40.46
2010-02-26,2011-01,23.52
2010-02-26,2011-02,259.50
2010-02-26,2011-02,49.72
2010-02-26,2011-02,49.24
2010-02-26,2011-02,391.31
2010-02-26,2011-03,100.91
2010-02-26,2011-03,25.19
2010-02-26,2011-03,201.90
2010-02-26,2011-03,46.79
2010-02-26,2011-04,506.86
2010-02-26,2011-04,359.14
2010-02-26,2011-04,854.12
2010-02-26,2011-04,523.32
2010-02-26,2011-04,69.43
2010-02-26,2011-05,1830.89
2010-02-26,2011-05,1284.82
2010-02-26,2011-05,2755.33
2010-02-26,2011-05,1560.55
2010-02-26,2011-06,1827.87
2010-02-26,2011-06,2143.74
2010-02-26,2011-06,3236.88
2010-02-26,2011-06,3548.52
2010-02-26,2011-07,3098.36
2010-02-26,2011-07,2599.47
2010-02-26,2011-07,2090.89
2010-02-26,2011-07,3386.45
2010-02-26,2011-07,1856.03
2010-02-26,2011-08,1932.69
2010-02-26,2011-08,2184.26
2010-02-26,2011-08,2724.47
2010-02-26,2011-08,2981.00
2010-02-26,2011-09,3299.02
2010-02-26,2011-09,1886.80
2010-02-26,2011-09,2292.39
2010-02-26,2011-09,3318.58
2010-02-26,2011-09,2631.76
2010-02-26,2011-10,3424.64
2010-02-26,2011-10,3454.89
2010-02-26,2011-10,3032.67
2010-02-26,2011-10,4152.40
2010-02-26,2011-11,2034.28
2010-02-26,2011-11,2498.81
2010-02-26,2011-11,2970.30
2010-02-26,2011-11,3550.84
2010-02-26,2011-12,2892.46
2010-02-26,2011-12,4241.64
2010-02-26,2011-12,3367.99
2010-02-26,2011-12,4921.05
2010-02-26,2011-12,3155.81
2010-02-26,2012-01,2397.84
2010-02-26,2012-01,2471.27
2010-02-26,2012-01,1971.67
2010-02-26,2012-01,2661.16
2010-02-26,2012-02,2225.29
2010-02-26,2012-02,2619.41
2010-02-26,2012-02,3280.36
2010-02-26,2012-02,3008.21
2010-02-26,2012-03,2399.21
2010-02-26,2012-03,3039.68
2010-02-26,2012-03,3161.71
2010-02-26,2012-03,2968.79
2010-02-26,2012-03,2600.75
2010-02-26,2012-04,4151.19
2010-02-26,2012-04,3433.87
2010-02-26,2012-04,4900.21
2010-02-26,2012-04,4112.58
2010-02-26,2012-05,7961.13
2010-02-26,2012-05,7760.93
2010-02-26,2012-05,8857.39
2010-02-26,2012-05,4619.15
2010-02-26,2012-06,3219.05
2010-02-26,2012-06,3059.48
2010-02-26,2012-06,6530.76
2010-02-26,2012-06,3930.81
2010-02-26,2012-06,5310.94
2010-02-26,2012-07,2266.84
2010-02-26,2012-07,2944.60
2010-02-26,2012-07,3425.29
2010-02-26,2012-07,2994.29
2010-02-26,2012-08,2775.68
2010-02-26,2012-08,3962.63
2010-02-26,2012-08,3479.66
2010-02-26,2012-08,3095.58
2010-02-26,2012-08,3899.95
2010-02-26,2012-09,2165.56
2010-02-26,2012-09,3133.30
2010-02-26,2012-09,2618.75
2010-02-26,2012-09,2785.83
2010-02-26,2012-10,4346.05
2010-02-26,2012-10,3446.50
2010-02-26,2012-10,2653.27
2010-02-26,2012-10,2387.18
2010-03-05,2010-03,30.01
2010-03-05,2010-03,122.75
2010-03-05,2010-03,478.65
2010-03-05,2010-03,29.24
2010-03-05,2010-04,14.50
2010-03-05,2010-04,107.13
2010-03-05,2010-04,339.80
2010-03-05,2010-04,2.01
2010-03-05,2010-05,-27.00
2010-03-05,2010-05,0.82
2010-03-05,2010-05,4.98
2010-03-05,2010-05,-4.65
2010-03-05,2010-06,92.78
2010-03-05,2010-06,66.19
2010-03-05,2010-06,22.41
2010-03-05,2010-06,53.71
2010-03-05,2010-07,120.17
2010-03-05,2010-07,79.97
2010-03-05,2010-07,16.07
2010-03-05,2010-07,26.90
2010-03-05,2010-07,58.88
2010-03-05,2010-08,-2.01
2010-03-05,2010-08,46.11
2010-03-05,2010-08,-450.00
2010-03-05,2010-08,30.08
2010-03-05,2010-09,5.16
2010-03-05,2010-09,116.61
2010-03-05,2010-09,-567.53
2010-03-05,2010-09,319.53
2010-03-05,2010-10,362.04
2010-03-05,2010-10,331.44
2010-03-05,2010-10,273.92
2010-03-05,2010-10,473.47
2010-03-05,2010-10,304.31
2010-03-05,2010-11,15.14
2010-03-05,2010-11,306.97
2010-03-05,2010-11,70.98
2010-03-05,2010-11,54.94
2010-03-05,2010-12,289.87
2010-03-05,2010-12,827.95
2010-03-05,2010-12,840.00
2010-03-05,2010-12,1069.15
2010-03-05,2010-12,-498.56
2010-03-05,2011-01,121.46
2010-03-05,2011-01,208.19
2010-03-05,2011-01,221.96
2010-03-05,2011-01,337.30
2010-03-05,2011-02,275.42
2010-03-05,2011-02,1027.71
2010-03-05,2011-02,50.04
2010-03-05,2011-02,1134.72
2010-03-05,2011-03,322.42
2010-03-05,2011-03,681.67
2010-03-05,2011-03,379.58
2010-03-05,2011-03,1072.75
2010-03-05,2011-04,240.13
2010-03-05,2011-04,417.40
2010-03-05,2011-04,8.19
2010-03-05,2011-04,220.13
2010-03-05,2011-04,1020.22
2010-03-05,2011-05,222.49
2010-03-05,2011-05,1.00
2010-03-05,2011-05,6.54
2010-03-05,2011-05,174.12
2010-03-05,2011-06,21.04
2010-03-05,2011-06,64.50
2010-03-05,2011-06,250.00
2010-03-05,2011-07,11.47
2010-03-05,2011-07,29.48
2010-03-05,2011-07,-774.02
2010-03-05,2011-07,28.60
2010-03-05,2011-08,291.98
2010-03-05,2011-08,1304.94
2010-03-05,2011-08,1.00
2010-03-05,2011-09,1109.31
2010-03-05,2011-09,499.10
2010-03-05,2011-09,340.00
2010-03-05,2011-09,1036.06
2010-03-05,2011-09,206.38
2010-03-05,2011-10,465.97
2010-03-05,2011-10,1632.95
2010-03-05,2011-10,589.17
2010-03-05,2011-10,1299.00
2010-03-05,2011-11,745.94
2010-03-05,2011-11,14979.62
2010-03-05,2011-11,420.15
2010-03-05,2011-11,711.45
2010-03-05,2011-12,4202.38
2010-03-05,2011-12,1681.20
2010-03-05,2011-12,9909.55
2010-03-05,2011-12,9002.20
2010-03-05,2011-12,460.73
2010-03-05,2012-01,309.31
2010-03-05,2012-01,317.30
2010-03-05,2012-01,667.10
2010-03-05,2012-01,710.98
2010-03-05,2012-02,1168.65
2010-03-05,2012-02,1738.82
2010-03-05,2012-02,6592.26
2010-03-05,2012-02,6989.12
2010-03-05,2012-03,870.27
2010-03-05,2012-03,1213.54
2010-03-05,2012-03,686.46
2010-03-05,2012-03,539.41
2010-03-05,2012-03,610.19
2010-03-05,2012-04,2890.21
2010-03-05,2012-04,674.77
2010-03-05,2012-04,1755.89
2010-03-05,2012-04,335.62
2010-03-05,2012-05,627.68
2010-03-05,2012-05,236.35
2010-03-05,2012-05,466.47
2010-03-05,2012-05,702.34
2010-03-05,2012-06,937.51
2010-03-05,2012-06,622.23
2010-03-05,2012-06,267.13
2010-03-05,2012-06,831.80
2010-03-05,2012-06,772.49
2010-03-05,2012-07,292.92
2010-03-05,2012-07,385.54
2010-03-05,2012-07,805.75
2010-03-05,2012-07,277.89
2010-03-05,2012-08,82.77
2010-03-05,2012-08,1234.15
2010-03-05,2012-08,1002.15
2010-03-05,2012-08,351.26
2010-03-05,2012-08,834.12
2010-03-05,2012-09,665.58
2010-03-05,2012-09,756.32
2010-03-05,2012-09,448.49
2010-03-05,2012-09,711.14
2010-03-05,2012-10,1124.60
2010-03-05,2012-10,1186.19
2010-03-05,2012-10,2491.22
2010-03-05,2012-10,1485.85
2010-03-12,2010-03,88.84
2010-03-12,2010-03,22.25
2010-03-12,2010-03,44.64
2010-03-12,2010-04,10.50
2010-03-12,2010-04,26.91
2010-03-12,2010-04,33.75
2010-03-12,2010-04,28.75
2010-03-12,2010-04,35.50
2010-03-12,2010-05,25.75
2010-03-12,2010-05,52.00
2010-03-12,2010-05,46.75
2010-03-12,2010-05,45.50
2010-03-12,2010-06,26.00
2010-03-12,2010-06,78.30
2010-03-12,2010-06,94.00
2010-03-12,2010-06,46.19
2010-03-12,2010-07,32.75
2010-03-12,2010-07,120.25
2010-03-12,2010-07,203.75
2010-03-12,2010-07,152.29
2010-03-12,2010-07,143.09
2010-03-12,2010-08,11.00
2010-03-12,2010-08,63.75
2010-03-12,2010-08,47.97
2010-03-12,2010-08,66.00
2010-03-12,2010-09,47.75
2010-03-12,2010-09,81.50
2010-03-12,2010-09,53.00
2010-03-12,2010-09,106.40
2010-03-12,2010-10,27.50
2010-03-12,2010-10,27.50
2010-03-12,2010-10,30.94
2010-03-12,2010-10,57.44
2010-03-12,2010-10,135.10
2010-03-12,2010-11,23.50
2010-03-12,2010-11,33.00
2010-03-12,2010-11,14.47
2010-03-12,2010-11,15.54
2010-03-12,2010-12,-9.06
2010-03-12,2010-12,27.97
2010-03-12,2010-12,9.00
2010-03-12,2010-12,46.00
2010-03-12,2010-12,46.91
2010-03-12,2011-01,78.97
2010-03-12,2011-01,55.00
2010-03-12,2011-01,47.00
2010-03-12,2011-01,73.00
2010-03-12,2011-02,154.00
2010-03-12,2011-02,100.94
2010-03-12,2011-02,141.47
2010-03-12,2011-02,195.57
2010-03-12,2011-03,64.00
2010-03-12,2011-03,55.00
2010-03-12,2011-03,46.00
2010-03-12,2011-03,59.44
2010-03-12,2011-04,65.66
2010-03-12,2011-04,39.00
2010-03-12,2011-04,57.00
2010-03-12,2011-04,34.00
2010-03-12,2011-04,40.00
2010-03-12,2011-05,50.99
2010-03-12,2011-05,76.08
2010-03-12,2011-05,131.54
2010-03-12,2011-05,60.44
2010-03-12,2011-06,76.81
2010-03-12,2011-06,72.18
2010-03-12,2011-06,81.61
2010-03-12,2011-06,83.94
2010-03-12,2011-07,131.74
2010-03-12,2011-07,137.59
2010-03-12,2011-07,176.00
2010-03-12,2011-07,81.27
2010-03-12,2011-07,147.20
2010-03-12,2011-08,139.49
2010-03-12,2011-08,103.71
2010-03-12,2011-08,137.02
2010-03-12,2011-08,94.65
2010-03-12,2011-09,32.92
2010-03-12,2011-09,51.49
2010-03-12,2011-09,21.01
2010-03-12,2011-09,147.22
2010-03-12,2011-09,70.16
2010-03-12,2011-10,50.34
2010-03-12,2011-10,32.39
2010-03-12,2011-10,27.76
2010-03-12,2011-10,26.80
2010-03-12,2011-11,33.95
2010-03-12,2011-11,34.71
2010-03-12,2011-11,50.23
2010-03-12,2011-11,51.59
2010-03-12,2011-12,44.53
2010-03-12,2011-12,26.51
2010-03-12,2011-12,68.47
2010-03-12,2011-12,14.10
2010-03-12,2011-12,19.77
2010-03-12,2012-01,24.76
2010-03-12,2012-01,56.69
2010-03-12,2012-01,49.97
2010-03-12,2012-01,40.76
2010-03-12,2012-02,58.83
2010-03-12,2012-02,56.48
2010-03-12,2012-02,75.41
2010-03-12,2012-02,61.26
2010-03-12,2012-03,33.59
2010-03-12,2012-03,39.06
2010-03-12,2012-03,63.29
2010-03-12,2012-03,65.06
2010-03-12,2012-03,51.21
2010-03-12,2012-04,37.91
2010-03-12,2012-04,55.60
2010-03-12,2012-04,60.96
2010-03-12,2012-04,12.25
2010-03-12,2012-05,21.77
2010-03-12,2012-05,16.92
2010-03-12,2012-05,16.92
2010-03-12,2012-05,50.72
2010-03-12,2012-06,23.87
2010-03-12,2012-06,7.52
2010-03-12,2012-06,87.37
2010-03-12,2012-06,72.47
2010-03-12,2012-06,21.14
2010-03-12,2012-07,133.50
2010-03-12,2012-07,88.00
2010-03-12,2012-07,42.94
2010-03-12,2012-07,87.47
2010-03-12,2012-08,48.97
2010-03-12,2012-08,32.47
2010-03-12,2012-08,85.00
2010-03-12,2012-08,60.97
2010-03-12,2012-08,75.20
2010-03-12,2012-09,50.23
2010-03-12,2012-09,26.26
